Source,Report name,DB,Schema,Table,Is Sensitive,Email,DOB,Name,Account Number,Member,Gender,Phone number,Card Number,SSN,TIN
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1990-12-25,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1990-12-25,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1990-12-25,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1990-12-25,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Regular Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1990-12-25,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Female,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-987-6543,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,jane.smith@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,9876543210987654,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4222222222222222,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,987-65-4321,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,98-7654321
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Elm St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Premium Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,1234567890123456,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,4111111111111111,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,Premium Member,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,1985-08-15,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,Male,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,555-123-4567,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,john.doe@email.com,,,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,,,,,,1234567890123456,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,4111111111111111,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,123-45-6789,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,,,,,,12-3456789
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,Yes,,,Oak St,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,Regular Member,,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,9876543210987654,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,4222222222222222,,,,,,
Extracted SQL,Sensitive Data Detection,DatabaseName,SchemaName,TableName,No,,,,,Regular Member,,,,,
